2026-05-06T13:25:28.001597 | I | worker_oc_service_create_impl.cpp:56 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:291 | 22cf1e5c-e85a-4780-9161-866904145aaf | jingpai |  [Create] Receive create meta request, clientId: b36a6a9f-36bb-4dc7-af27-52a37566659e, objectKey: kv_test_13_0_27066725843790_0, cacheType: 0, size: 8388608
2026-05-06T13:25:28.004885 | I | urma_manager.cpp:1297 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:299 | 54998dcf-0e96-4b6f-87ae-a83b1991720a | jingpai |  URMA write useNumaAffinity:1src:2, dst:2, jetty id:1039, urma_inflight_wr_count:4
2026-05-06T13:25:28.010146 | I | master_oc_service_impl.cpp:123 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:282 | 8abc1cac-f407-4f3b-9bd4-51802954fea9 | jingpai |  Processing CreateMetaReq, redirect: 1, src=192.168.215.61:31402, dst=192.168.189.125:31402
2026-05-06T13:25:28.016594 | I | master_oc_service_impl.cpp:123 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:283 | 095d2b21-a921-4b47-a54d-1a78352ce76b | jingpai |  Processing CreateMetaReq, redirect: 1, src=192.168.219.127:31402, dst=192.168.189.125:31402
2026-05-06T13:25:28.017978 | I | worker_oc_service_create_impl.cpp:56 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:295 | 60c01359-b9d9-4727-8dfb-d4493eb59880 | jingpai |  [Create] Receive create meta request, clientId: b36a6a9f-36bb-4dc7-af27-52a37566659e, objectKey: kv_test_13_0_27066742246930_0, cacheType: 0, size: 8388608
2026-05-06T13:25:28.017996 | I | worker_oc_service_create_impl.cpp:80 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:295 | 60c01359-b9d9-4727-8dfb-d4493eb59880 | jingpai |  [Client b36a6a9f-36bb-4dc7-af27-52a37566659e] [ObjectKey kv_test_13_0_27066742246930_0] The operations of worker Create exceed 3ms: {}
2026-05-06T13:25:28.018370 | I | worker_oc_service_publish_impl.cpp:357 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:294 | 60c01359-b9d9-4727-8dfb-d4493eb59880 | jingpai |  [ObjectKey kv_test_13_0_27066742246930_0] is being publishing [Sz: 8388608].
2026-05-06T13:25:28.018376 | I | worker_oc_service_publish_impl.cpp:310 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:294 | 60c01359-b9d9-4727-8dfb-d4493eb59880 | jingpai |  Client b36a6a9f-36bb-4dc7-af27-52a37566659e is putting the object kv_test_13_0_27066742246930_0, ReserveGetAndLock elapsed 0 ms.
2026-05-06T13:25:28.018380 | I | worker_oc_service_publish_impl.cpp:249 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:294 | 60c01359-b9d9-4727-8dfb-d4493eb59880 | jingpai |  Current life state: 0, next state: 1, ttl second: 5.
2026-05-06T13:25:28.018390 | I | worker_oc_service_publish_impl.cpp:134 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:294 | 60c01359-b9d9-4727-8dfb-d4493eb59880 | jingpai |  Create meta to master[192.168.52.253:31402], src=192.168.189.125:31402, dst=192.168.52.253:31402
2026-05-06T13:25:28.018665 | I | worker_oc_service_publish_impl.cpp:253 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:294 | 60c01359-b9d9-4727-8dfb-d4493eb59880 | jingpai |  Request to master success
2026-05-06T13:25:28.018669 | I | worker_oc_service_publish_impl.cpp:399 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:294 | 60c01359-b9d9-4727-8dfb-d4493eb59880 | jingpai |  Put success
2026-05-06T13:25:28.018677 | I | worker_oc_service_publish_impl.cpp:425 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:294 | 60c01359-b9d9-4727-8dfb-d4493eb59880 | jingpai |  The operations of worker Publish exceed 3ms: {}
2026-05-06T13:25:28.018801 | I | worker_oc_service_get_impl.cpp:130 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:296 | abce330d-18cb-48fb-80ac-280fbaa56f10 | jingpai |  Get start from client:b36a6a9f-36bb-4dc7-af27-52a37566659e server api read elapsed ms: 0.00322 inflight remote get request count: 0
2026-05-06T13:25:28.018815 | I | worker_oc_service_get_impl.cpp:165 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:200 | abce330d-18cb-48fb-80ac-280fbaa56f10 | jingpai |  Process Get from client: b36a6a9f-36bb-4dc7-af27-52a37566659e, objects: kv_test_2_0_28504293299940_0, get threads Statistics: idle(7),total(8),wait(0), elapsed ms: 0, remainingTime: 898
2026-05-06T13:25:28.018832 | I | worker_oc_service_get_impl.cpp:1749 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:200 | abce330d-18cb-48fb-80ac-280fbaa56f10 | jingpai |  Query metadata from master: 192.168.168.253:31402, objects: kv_test_2_0_28504293299940_0, request id: cb6ba6b5-f457-47fa-9223-a8b63f9086df, remainingTime:896ms
2026-05-06T13:25:28.019165 | I | worker_oc_service_get_impl.cpp:778 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:200 | abce330d-18cb-48fb-80ac-280fbaa56f10 | jingpai |  Query meta success: target num 1, success num 1, elapsed 0.340 ms
2026-05-06T13:25:28.019184 | I | worker_oc_service_batch_get_impl.cpp:607 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:200 | abce330d-18cb-48fb-80ac-280fbaa56f10 | jingpai |  Remote get request:[batch] objects count[1], src=192.168.189.125:31402, dst=192.168.45.253:31402
2026-05-06T13:25:28.019760 | I | worker_oc_service_get_impl.cpp:193 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:200 | abce330d-18cb-48fb-80ac-280fbaa56f10 | jingpai |  Process Get done, clientId: b36a6a9f-36bb-4dc7-af27-52a37566659e, objectKeys: kv_test_2_0_28504293299940_0, subTimeout: 0, get threads Statistics: idle(6),total(8),wait(0).The operations of worker Get exceed 3ms: {}
2026-05-06T13:25:28.019762 | I | worker_request_manager.cpp:629 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:207 |  | jingpai |  Start to delete objects (kv_test_2_0_28504293299940_0, 1778045128038559)
2026-05-06T13:25:28.021048 | I | master_oc_service_impl.cpp:123 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:285 | a7047ebf-855b-42db-a132-ee05ed2aa8a1 | jingpai |  Processing CreateMetaReq, redirect: 1, src=192.168.35.61:31402, dst=192.168.189.125:31402
2026-05-06T13:25:28.031203 | I | worker_oc_service_create_impl.cpp:56 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:289 | 2f58e8da-f5d6-491d-99ca-76c00b4966ab | jingpai |  [Create] Receive create meta request, clientId: b36a6a9f-36bb-4dc7-af27-52a37566659e, objectKey: kv_test_13_0_27066755502690_0, cacheType: 0, size: 8388608
2026-05-06T13:25:28.031218 | I | worker_oc_service_create_impl.cpp:80 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:289 | 2f58e8da-f5d6-491d-99ca-76c00b4966ab | jingpai |  [Client b36a6a9f-36bb-4dc7-af27-52a37566659e] [ObjectKey kv_test_13_0_27066755502690_0] The operations of worker Create exceed 3ms: {}
2026-05-06T13:25:28.031438 | I | master_oc_service_impl.cpp:123 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:284 | 4faa1600-2329-4116-a219-280efdcb7184 | jingpai |  Processing CreateMetaReq, redirect: 1, src=192.168.102.125:31402, dst=192.168.189.125:31402
2026-05-06T13:25:28.031588 | I | worker_oc_service_publish_impl.cpp:357 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:290 | 2f58e8da-f5d6-491d-99ca-76c00b4966ab | jingpai |  [ObjectKey kv_test_13_0_27066755502690_0] is being publishing [Sz: 8388608].
2026-05-06T13:25:28.031594 | I | worker_oc_service_publish_impl.cpp:310 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:290 | 2f58e8da-f5d6-491d-99ca-76c00b4966ab | jingpai |  Client b36a6a9f-36bb-4dc7-af27-52a37566659e is putting the object kv_test_13_0_27066755502690_0, ReserveGetAndLock elapsed 0 ms.
2026-05-06T13:25:28.031599 | I | worker_oc_service_publish_impl.cpp:249 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:290 | 2f58e8da-f5d6-491d-99ca-76c00b4966ab | jingpai |  Current life state: 0, next state: 1, ttl second: 5.
2026-05-06T13:25:28.031608 | I | worker_oc_service_publish_impl.cpp:134 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:290 | 2f58e8da-f5d6-491d-99ca-76c00b4966ab | jingpai |  Create meta to master[192.168.42.125:31402], src=192.168.189.125:31402, dst=192.168.42.125:31402
2026-05-06T13:25:28.031852 | I | worker_oc_service_publish_impl.cpp:253 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:290 | 2f58e8da-f5d6-491d-99ca-76c00b4966ab | jingpai |  Request to master success
2026-05-06T13:25:28.031857 | I | worker_oc_service_publish_impl.cpp:399 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:290 | 2f58e8da-f5d6-491d-99ca-76c00b4966ab | jingpai |  Put success
2026-05-06T13:25:28.031864 | I | worker_oc_service_publish_impl.cpp:425 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:290 | 2f58e8da-f5d6-491d-99ca-76c00b4966ab | jingpai |  The operations of worker Publish exceed 3ms: {}
2026-05-06T13:25:28.034373 | I | master_oc_service_impl.cpp:123 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:286 | 3741522a-6e79-46e5-b4ae-0bfc8ed0c35f | jingpai |  Processing CreateMetaReq, redirect: 1, src=192.168.210.189:31402, dst=192.168.189.125:31402
2026-05-06T13:25:28.037686 | I | worker_oc_service_create_impl.cpp:56 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:293 | cb5e3ce9-76b1-4b8c-9f98-99d5f8c0cd70 | jingpai |  [Create] Receive create meta request, clientId: b36a6a9f-36bb-4dc7-af27-52a37566659e, objectKey: kv_test_13_0_27066761964790_0, cacheType: 0, size: 8388608
2026-05-06T13:25:28.037700 | I | worker_oc_service_create_impl.cpp:80 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:293 | cb5e3ce9-76b1-4b8c-9f98-99d5f8c0cd70 | jingpai |  [Client b36a6a9f-36bb-4dc7-af27-52a37566659e] [ObjectKey kv_test_13_0_27066761964790_0] The operations of worker Create exceed 3ms: {}
2026-05-06T13:25:28.038066 | I | worker_oc_service_publish_impl.cpp:357 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:291 | cb5e3ce9-76b1-4b8c-9f98-99d5f8c0cd70 | jingpai |  [ObjectKey kv_test_13_0_27066761964790_0] is being publishing [Sz: 8388608].
2026-05-06T13:25:28.038074 | I | worker_oc_service_publish_impl.cpp:310 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:291 | cb5e3ce9-76b1-4b8c-9f98-99d5f8c0cd70 | jingpai |  Client b36a6a9f-36bb-4dc7-af27-52a37566659e is putting the object kv_test_13_0_27066761964790_0, ReserveGetAndLock elapsed 0 ms.
2026-05-06T13:25:28.038077 | I | worker_oc_service_publish_impl.cpp:249 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:291 | cb5e3ce9-76b1-4b8c-9f98-99d5f8c0cd70 | jingpai |  Current life state: 0, next state: 1, ttl second: 5.
2026-05-06T13:25:28.038088 | I | worker_oc_service_publish_impl.cpp:134 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:291 | cb5e3ce9-76b1-4b8c-9f98-99d5f8c0cd70 | jingpai |  Create meta to master[192.168.210.189:31402], src=192.168.189.125:31402, dst=192.168.210.189:31402
2026-05-06T13:25:28.038366 | I | worker_oc_service_publish_impl.cpp:253 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:291 | cb5e3ce9-76b1-4b8c-9f98-99d5f8c0cd70 | jingpai |  Request to master success
2026-05-06T13:25:28.038371 | I | worker_oc_service_publish_impl.cpp:399 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:291 | cb5e3ce9-76b1-4b8c-9f98-99d5f8c0cd70 | jingpai |  Put success
2026-05-06T13:25:28.038381 | I | worker_oc_service_publish_impl.cpp:425 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:291 | cb5e3ce9-76b1-4b8c-9f98-99d5f8c0cd70 | jingpai |  The operations of worker Publish exceed 3ms: {}
2026-05-06T13:25:28.039472 | I | worker_worker_oc_service_impl.cpp:693 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:300 | 9b8dc763-bde6-41d7-adf7-f4dabccd0fe9 | jingpai |  BatchGetObjectRemote request (objectKey, requestId, readOffset, readSize): (kv_test_13_0_27066761964790_0,,0,8388608) remainingTime:895ms, src=192.168.199.189:31402, dst=192.168.189.125:31402
2026-05-06T13:25:28.039478 | I | worker_worker_oc_service_impl.cpp:196 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:300 | 9b8dc763-bde6-41d7-adf7-f4dabccd0fe9 | jingpai |  Processing pull object[kv_test_13_0_27066761964790_0] offset[0] size[8388608], src=192.168.199.189:31402, dst=192.168.189.125:31402
2026-05-06T13:25:28.039488 | I | urma_manager.cpp:1297 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:300 | 9b8dc763-bde6-41d7-adf7-f4dabccd0fe9 | jingpai |  URMA write useNumaAffinity:1src:2, dst:1, jetty id:1027, urma_inflight_wr_count:5
2026-05-06T13:25:28.039715 | I | urma_manager.cpp:852 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:300 | 9b8dc763-bde6-41d7-adf7-f4dabccd0fe9 | jingpai |  [URMA_ELAPSED_TOTAL]: Waiting URMA jfc event done after urma_post_jetty_send_wr cost 0.2118ms, request id:38, src address:192.168.189.125:31402, target address:192.168.199.189:31402, dataSize:8388608, cpuid:20, status: code: [OK], msg: [], urma_inflight_wr_count: 5, suggest: check whether URMA_ELAPSED_THREAD_SHED/URMA_ELAPSED_POLL_JFC/URMA_ELAPSED_NOTIFY logs appear in the same time window; if none appear, check URMA and UDMA
2026-05-06T13:25:28.047876 | I | worker_oc_service_create_impl.cpp:56 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:292 | 0ccc0246-1b30-44d2-856e-12184aba1c2f | jingpai |  [Create] Receive create meta request, clientId: b36a6a9f-36bb-4dc7-af27-52a37566659e, objectKey: kv_test_13_0_27066772132910_0, cacheType: 0, size: 8388608
2026-05-06T13:25:28.047899 | I | worker_oc_service_create_impl.cpp:80 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:292 | 0ccc0246-1b30-44d2-856e-12184aba1c2f | jingpai |  [Client b36a6a9f-36bb-4dc7-af27-52a37566659e] [ObjectKey kv_test_13_0_27066772132910_0] The operations of worker Create exceed 3ms: {}
2026-05-06T13:25:28.048291 | I | worker_oc_service_publish_impl.cpp:357 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:295 | 0ccc0246-1b30-44d2-856e-12184aba1c2f | jingpai |  [ObjectKey kv_test_13_0_27066772132910_0] is being publishing [Sz: 8388608].
2026-05-06T13:25:28.048298 | I | worker_oc_service_publish_impl.cpp:310 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:295 | 0ccc0246-1b30-44d2-856e-12184aba1c2f | jingpai |  Client b36a6a9f-36bb-4dc7-af27-52a37566659e is putting the object kv_test_13_0_27066772132910_0, ReserveGetAndLock elapsed 0 ms.
2026-05-06T13:25:28.048301 | I | worker_oc_service_publish_impl.cpp:249 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:295 | 0ccc0246-1b30-44d2-856e-12184aba1c2f | jingpai |  Current life state: 0, next state: 1, ttl second: 5.
2026-05-06T13:25:28.048310 | I | worker_oc_service_publish_impl.cpp:134 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:295 | 0ccc0246-1b30-44d2-856e-12184aba1c2f | jingpai |  Create meta to master[192.168.89.61:31402], src=192.168.189.125:31402, dst=192.168.89.61:31402
2026-05-06T13:25:28.048558 | I | worker_oc_service_publish_impl.cpp:253 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:295 | 0ccc0246-1b30-44d2-856e-12184aba1c2f | jingpai |  Request to master success
2026-05-06T13:25:28.048563 | I | worker_oc_service_publish_impl.cpp:399 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:295 | 0ccc0246-1b30-44d2-856e-12184aba1c2f | jingpai |  Put success
2026-05-06T13:25:28.048570 | I | worker_oc_service_publish_impl.cpp:425 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:295 | 0ccc0246-1b30-44d2-856e-12184aba1c2f | jingpai |  The operations of worker Publish exceed 3ms: {}
2026-05-06T13:25:28.050158 | I | master_oc_service_impl.cpp:123 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:287 | 17bcb7ef-0cd6-4f11-b3d5-2be81a54b256 | jingpai |  Processing CreateMetaReq, redirect: 1, src=192.168.89.61:31402, dst=192.168.189.125:31402
2026-05-06T13:25:28.051186 | I | master_oc_service_impl.cpp:261 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:280 | 27af7333-89ab-42f3-9583-ce0972589466 | jingpai |  Processing QueryMetaReq, requestId: 904ccd42-cdaf-4c34-9ec0-2e01accdfb0e
2026-05-06T13:25:28.051196 | I | master_oc_service_impl.cpp:270 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:280 | 27af7333-89ab-42f3-9583-ce0972589466 | jingpai |  QueryMeta on master 192.168.45.253:31402, target num 1, success num 1. The operations of master QueryMeta exceed 3ms: {}
2026-05-06T13:25:28.056857 | I | worker_oc_service_create_impl.cpp:56 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:294 | ea324bd9-3711-402a-8006-9754376fae76 | jingpai |  [Create] Receive create meta request, clientId: b36a6a9f-36bb-4dc7-af27-52a37566659e, objectKey: kv_test_13_0_27066781182670_0, cacheType: 0, size: 8388608
2026-05-06T13:25:28.056875 | I | worker_oc_service_create_impl.cpp:80 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:294 | ea324bd9-3711-402a-8006-9754376fae76 | jingpai |  [Client b36a6a9f-36bb-4dc7-af27-52a37566659e] [ObjectKey kv_test_13_0_27066781182670_0] The operations of worker Create exceed 3ms: {}
2026-05-06T13:25:28.057272 | I | worker_oc_service_publish_impl.cpp:357 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:296 | ea324bd9-3711-402a-8006-9754376fae76 | jingpai |  [ObjectKey kv_test_13_0_27066781182670_0] is being publishing [Sz: 8388608].
2026-05-06T13:25:28.057280 | I | worker_oc_service_publish_impl.cpp:310 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:296 | ea324bd9-3711-402a-8006-9754376fae76 | jingpai |  Client b36a6a9f-36bb-4dc7-af27-52a37566659e is putting the object kv_test_13_0_27066781182670_0, ReserveGetAndLock elapsed 0 ms.
2026-05-06T13:25:28.057284 | I | worker_oc_service_publish_impl.cpp:249 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:296 | ea324bd9-3711-402a-8006-9754376fae76 | jingpai |  Current life state: 0, next state: 1, ttl second: 5.
2026-05-06T13:25:28.057292 | I | worker_oc_service_publish_impl.cpp:134 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:296 | ea324bd9-3711-402a-8006-9754376fae76 | jingpai |  Create meta to master[192.168.235.189:31402], src=192.168.189.125:31402, dst=192.168.235.189:31402
2026-05-06T13:25:28.057554 | I | worker_oc_service_publish_impl.cpp:253 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:296 | ea324bd9-3711-402a-8006-9754376fae76 | jingpai |  Request to master success
2026-05-06T13:25:28.057558 | I | worker_oc_service_publish_impl.cpp:399 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:296 | ea324bd9-3711-402a-8006-9754376fae76 | jingpai |  Put success
2026-05-06T13:25:28.057565 | I | worker_oc_service_publish_impl.cpp:425 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:296 | ea324bd9-3711-402a-8006-9754376fae76 | jingpai |  The operations of worker Publish exceed 3ms: {}
2026-05-06T13:25:28.060050 | I | worker_oc_service_get_impl.cpp:130 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:289 | 6bb8caaa-a06d-4c18-a560-fd825c72a491 | jingpai |  Get start from client:b36a6a9f-36bb-4dc7-af27-52a37566659e server api read elapsed ms: 0.00298 inflight remote get request count: 0
2026-05-06T13:25:28.060064 | I | worker_oc_service_get_impl.cpp:165 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:202 | 6bb8caaa-a06d-4c18-a560-fd825c72a491 | jingpai |  Process Get from client: b36a6a9f-36bb-4dc7-af27-52a37566659e, objects: kv_test_6_0_28506343335610_0, get threads Statistics: idle(7),total(8),wait(0), elapsed ms: 0, remainingTime: 898
2026-05-06T13:25:28.060083 | I | worker_oc_service_get_impl.cpp:1749 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:202 | 6bb8caaa-a06d-4c18-a560-fd825c72a491 | jingpai |  Query metadata from master: 192.168.219.127:31402, objects: kv_test_6_0_28506343335610_0, request id: c6ac8558-2aff-456b-a613-2a80399b6fda, remainingTime:896ms
2026-05-06T13:25:28.060385 | I | worker_oc_service_get_impl.cpp:778 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:202 | 6bb8caaa-a06d-4c18-a560-fd825c72a491 | jingpai |  Query meta success: target num 1, success num 1, elapsed 0.309 ms
2026-05-06T13:25:28.060404 | I | worker_oc_service_batch_get_impl.cpp:607 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:202 | 6bb8caaa-a06d-4c18-a560-fd825c72a491 | jingpai |  Remote get request:[batch] objects count[1], src=192.168.189.125:31402, dst=192.168.168.253:31402
2026-05-06T13:25:28.061018 | I | worker_request_manager.cpp:629 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:206 |  | jingpai |  Start to delete objects (kv_test_6_0_28506343335610_0, 1778045128063463)
2026-05-06T13:25:28.061021 | I | worker_oc_service_get_impl.cpp:193 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:202 | 6bb8caaa-a06d-4c18-a560-fd825c72a491 | jingpai |  Process Get done, clientId: b36a6a9f-36bb-4dc7-af27-52a37566659e, objectKeys: kv_test_6_0_28506343335610_0, subTimeout: 0, get threads Statistics: idle(6),total(8),wait(0).The operations of worker Get exceed 3ms: {}
2026-05-06T13:25:28.068220 | I | worker_oc_service_create_impl.cpp:56 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:290 | cf2a3682-59f0-44bd-b55f-9ea07fab812e | jingpai |  [Create] Receive create meta request, clientId: b36a6a9f-36bb-4dc7-af27-52a37566659e, objectKey: kv_test_13_0_27066792467860_0, cacheType: 0, size: 8388608
2026-05-06T13:25:28.068236 | I | worker_oc_service_create_impl.cpp:80 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:290 | cf2a3682-59f0-44bd-b55f-9ea07fab812e | jingpai |  [Client b36a6a9f-36bb-4dc7-af27-52a37566659e] [ObjectKey kv_test_13_0_27066792467860_0] The operations of worker Create exceed 3ms: {}
2026-05-06T13:25:28.068619 | I | worker_oc_service_publish_impl.cpp:357 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:293 | cf2a3682-59f0-44bd-b55f-9ea07fab812e | jingpai |  [ObjectKey kv_test_13_0_27066792467860_0] is being publishing [Sz: 8388608].
2026-05-06T13:25:28.068625 | I | worker_oc_service_publish_impl.cpp:310 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:293 | cf2a3682-59f0-44bd-b55f-9ea07fab812e | jingpai |  Client b36a6a9f-36bb-4dc7-af27-52a37566659e is putting the object kv_test_13_0_27066792467860_0, ReserveGetAndLock elapsed 0 ms.
2026-05-06T13:25:28.068629 | I | worker_oc_service_publish_impl.cpp:249 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:293 | cf2a3682-59f0-44bd-b55f-9ea07fab812e | jingpai |  Current life state: 0, next state: 1, ttl second: 5.
